Episode 945	Average Score: 34.16	Score: 34.58
Episode 946	Average Score: 34.13	Score: 32.52
Episode 947	Average Score: 34.11	Score: 35.62
Episode 948	Average Score: 34.15	Score: 35.37
Episode 949	Average Score: 34.19	Score: 36.10
Episode 950	Average Score: 34.19	Score: 36.43
Episode 951	Average Score: 34.21	Score: 35.49
Episode 952	Average Score: 34.21	Score: 31.79
Episode 953	Average Score: 34.23	Score: 36.15
Episode 954	Average Score: 34.26	Score: 36.19
Episode 955	Average Score: 34.27	Score: 33.14
Episode 956	Average Score: 34.27	Score: 33.26
Episode 957	Average Score: 34.27	Score: 32.16
Episode 958	Average Score: 34.33	Score: 38.27
Episode 959	Average Score: 34.34	Score: 32.73
Episode 960	Average Score: 34.37	Score: 37.16
Episode 961	Average Score: 34.43	Score: 37.98
Episode 962	Average Score: 34.46	Score: 36.71
Episode 963	Average Score: 34.52	Score: 37.66
Episode 964	Average Score: 34.53	Score: 37.28
Episode 965	Average Score: 34.58	Score: 39.57
Episode 966	Average Score: 34.63	Score: 37.17
Episode 967	Average Score: 34.69	Score: 36.09
Episode 968	Average Score: 34.68	Score: 31.13
Episode 969	Average Score: 34.70	Score: 37.27
Episode 970	Average Score: 34.73	Score: 36.36
Episode 971	Average Score: 34.75	Score: 36.44
Episode 972	Average Score: 34.78	Score: 37.68
Episode 973	Average Score: 34.82	Score: 35.16
Episode 974	Average Score: 34.81	Score: 34.33
Episode 975	Average Score: 34.81	Score: 32.92
Episode 976	Average Score: 34.82	Score: 36.28
Episode 977	Average Score: 34.88	Score: 36.67
Episode 978	Average Score: 34.92	Score: 38.13
Episode 979	Average Score: 34.94	Score: 38.89
Episode 980	Average Score: 34.97	Score: 35.34
Episode 981	Average Score: 34.99	Score: 35.22
Episode 982	Average Score: 35.04	Score: 36.38
Episode 983	Average Score: 35.05	Score: 34.14
Episode 984	Average Score: 35.08	Score: 37.56
Episode 985	Average Score: 35.06	Score: 32.59
Episode 986	Average Score: 35.05	Score: 35.92
Episode 987	Average Score: 35.05	Score: 35.01
Episode 988	Average Score: 35.04	Score: 35.02
Episode 989	Average Score: 35.10	Score: 37.54
Episode 990	Average Score: 35.16	Score: 35.82
Episode 991	Average Score: 35.12	Score: 35.98
Episode 992	Average Score: 35.18	Score: 38.39
Episode 993	Average Score: 35.22	Score: 37.84
Episode 994	Average Score: 35.21	Score: 35.22
Episode 995	Average Score: 35.25	Score: 36.14
Episode 996	Average Score: 35.32	Score: 33.22
Episode 997	Average Score: 35.36	Score: 38.83
Episode 998	Average Score: 35.40	Score: 34.74
Episode 999	Average Score: 35.39	Score: 33.98
Episode 1000	Average Score: 35.39	Score: 35.37
